typing_wpm,avg_hold_ms,avg_flight_ms,error_rate,pause_count,avg_pause_ms,typing_variance,chars_per_min,avg_cursor_speed,click_rate,double_click_rate,scroll_rate,idle_time_pct,avg_hover_ms,movement_distance,movement_smoothness,label
59,84,91,0.0206,2,726,0.1097,259,452,12,0.5945,5.7317,0.0734,348,2348,0.782,low
46,124,98,0.0628,2,772,0.0887,236,349,19,1.9133,10.8429,0.162,483,2059,0.7758,medium
39,120,114,0.0736,4,1528,0.229,226,336,12,1.4746,6.0053,0.1629,412,2169,0.5495,medium
75,86,85,0.024,1,1137,0.0646,326,379,8,0.8383,5.0808,0.0591,286,3005,0.791,low
41,96,81,0.0472,4,1683,0.2193,242,233,13,1.7718,9.8287,0.1765,514,2773,0.7249,medium
45,96,98,0.0678,4,1058,0.1685,224,260,15,2.0192,10.043,0.1455,407,1762,0.6622,medium
73,107,104,0.0132,1,773,0.0807,261,506,9,1.0392,4.3737,0.0929,229,3512,0.8793,low
46,119,90,0.0464,1,1305,0.1517,179,309,9,2.3613,8.7388,0.1764,442,2137,0.6124,medium
47,109,108,0.0515,3,803,0.1663,248,265,19,1.315,9.0798,0.2134,483,1191,0.6466,medium
50,98,106,0.0157,1,714,0.1144,348,466,9,1.1297,6.3237,0.0444,326,2901,0.7854,low
33,113,95,0.0549,4,882,0.1589,216,378,9,1.5915,9.1573,0.1728,422,2094,0.6433,medium
61,71,88,0.0255,1,727,0.0772,316,383,7,0.6553,5.283,0.0412,283,2956,0.8796,low
36,135,148,0.1098,7,1584,0.318,159,192,20,2.6889,17.8252,0.3786,356,969,0.5821,high
26,142,170,0.1447,8,1941,0.3106,133,137,18,2.4853,15.6579,0.3402,704,1198,0.2824,high
50,128,93,0.0448,4,949,0.1658,214,228,11,2.3989,4.2411,0.1874,465,1968,0.6362,medium
63,129,81,0.0059,1,830,0.0621,298,505,7,1.3582,5.2746,0.0738,265,2635,0.8963,low
46,106,74,0.0537,3,1263,0.2266,224,375,15,1.493,8.7938,0.0742,508,2366,0.7213,medium
39,158,133,0.1153,8,1298,0.3366,71,94,24,4.7783,20.5865,0.3117,482,939,0.3758,high
43,122,96,0.0038,1,1013,0.0815,278,461,9,0.9401,5.5282,0.0559,267,3680,0.86,low
74,109,79,0.0207,1,888,0.0984,294,417,8,0.7357,6.8859,0.0652,276,3662,0.8935,low
54,128,104,0.0507,5,1011,0.1283,194,272,19,1.4527,11.9645,0.231,323,2678,0.6659,medium
46,121,135,0.0627,4,962,0.161,179,220,14,2.4386,8.6328,0.174,425,2302,0.6598,medium
24,158,207,0.0409,10,2383,0.2388,94,192,16,3.3902,9.8768,0.2401,819,1161,0.3849,high
