typing_wpm,chars_per_min,avg_hold_ms,avg_flight_ms,error_rate,pause_count,avg_pause_ms,typing_variance,avg_cursor_speed,movement_distance,click_rate,double_click_rate,scroll_rate,idle_time_pct,avg_hover_ms,avg_acceleration,movement_smoothness,label
59,259,84.0,91.0,0.0206,2,726.0,0.1097,452.0,2348.0,12.0,0.5945,5.7317,0.0734,348.0,0.0,0.782,low
46,236,124.0,98.0,0.0628,2,772.0,0.0887,349.0,2059.0,19.0,1.9133,10.8429,0.162,483.0,0.0,0.7758,medium
39,226,120.0,114.0,0.0736,4,1528.0,0.229,336.0,2169.0,12.0,1.4746,6.0053,0.1629,412.0,0.0,0.5495,medium
75,326,86.0,85.0,0.024,1,1137.0,0.0646,379.0,3005.0,8.0,0.8383,5.0808,0.0591,286.0,0.0,0.791,low
41,242,96.0,81.0,0.0472,4,1683.0,0.2193,233.0,2773.0,13.0,1.7718,9.8287,0.1765,514.0,0.0,0.7249,medium
45,224,96.0,98.0,0.0678,4,1058.0,0.1685,260.0,1762.0,15.0,2.0192,10.043,0.1455,407.0,0.0,0.6622,medium
73,261,107.0,104.0,0.0132,1,773.0,0.0807,506.0,3512.0,9.0,1.0392,4.3737,0.0929,229.0,0.0,0.8793,low
46,179,119.0,90.0,0.0464,1,1305.0,0.1517,309.0,2137.0,9.0,2.3613,8.7388,0.1764,442.0,0.0,0.6124,medium
47,248,109.0,108.0,0.0515,3,803.0,0.1663,265.0,1191.0,19.0,1.315,9.0798,0.2134,483.0,0.0,0.6466,medium
50,348,98.0,106.0,0.0157,1,714.0,0.1144,466.0,2901.0,9.0,1.1297,6.3237,0.0444,326.0,0.0,0.7854,low
33,216,113.0,95.0,0.0549,4,882.0,0.1589,378.0,2094.0,9.0,1.5915,9.1573,0.1728,422.0,0.0,0.6433,medium
61,316,71.0,88.0,0.0255,1,727.0,0.0772,383.0,2956.0,7.0,0.6553,5.283,0.0412,283.0,0.0,0.8796,low
36,159,135.0,148.0,0.1098,7,1584.0,0.318,192.0,969.0,20.0,2.6889,17.8252,0.3786,356.0,0.0,0.5821,high
26,133,142.0,170.0,0.1447,8,1941.0,0.3106,137.0,1198.0,18.0,2.4853,15.6579,0.3402,704.0,0.0,0.2824,high
50,214,128.0,93.0,0.0448,4,949.0,0.1658,228.0,1968.0,11.0,2.3989,4.2411,0.1874,465.0,0.0,0.6362,medium
63,298,129.0,81.0,0.0059,1,830.0,0.0621,505.0,2635.0,7.0,1.3582,5.2746,0.0738,265.0,0.0,0.8963,low
46,224,106.0,74.0,0.0537,3,1263.0,0.2266,375.0,2366.0,15.0,1.493,8.7938,0.0742,508.0,0.0,0.7213,medium
39,71,158.0,133.0,0.1153,8,1298.0,0.3366,94.0,939.0,24.0,4.7783,20.5865,0.3117,482.0,0.0,0.3758,high
43,278,122.0,96.0,0.0038,1,1013.0,0.0815,461.0,3680.0,9.0,0.9401,5.5282,0.0559,267.0,0.0,0.86,low
74,294,109.0,79.0,0.0207,1,888.0,0.0984,417.0,3662.0,8.0,0.7357,6.8859,0.0652,276.0,0.0,0.8935,low
54,194,128.0,104.0,0.0507,5,1011.0,0.1283,272.0,2678.0,19.0,1.4527,11.9645,0.231,323.0,0.0,0.6659,medium
46,179,121.0,135.0,0.0627,4,962.0,0.161,220.0,2302.0,14.0,2.4386,8.6328,0.174,425.0,0.0,0.6598,medium
24,94,158.0,207.0,0.0409,10,2383.0,0.2388,192.0,1161.0,16.0,3.3902,9.8768,0.2401,819.0,0.0,0.3849,high
40,147,125.0,102.0,0.066,4,1766.0,0.1792,383.0,1610.0,12.0,1.2895,6.442,0.1873,513.0,0.0,0.6441,medium
43,225,115.0,101.0,0.0229,6,1148.0,0.1757,264.0,2107.0,10.0,1.7608,7.0705,0.1374,367.0,0.0,0.7218,medium
67,296,95.0,87.0,0.0197,1,875.0,0.095,435.0,3464.0,6.0,1.1543,6.0736,0.0309,228.0,0.0,0.9207,low
44,218,123.0,78.0,0.0616,4,1572.0,0.2076,313.0,2668.0,13.0,2.3057,9.5371,0.1783,548.0,0.0,0.75,medium
58,362,108.0,87.0,0.029,0,609.0,0.102,401.0,3017.0,10.0,1.101,6.6243,0.0677,162.0,0.0,0.8707,low
58,354,98.0,94.0,0.0128,1,981.0,0.1177,448.0,3522.0,7.0,1.6191,3.9807,0.0907,303.0,0.0,0.7587,low
29,140,166.0,154.0,0.0929,7,1543.0,0.2739,204.0,1227.0,22.0,1.6568,10.0296,0.4125,660.0,0.0,0.4617,high
52,187,138.0,77.0,0.0383,4,913.0,0.1626,340.0,1685.0,7.0,1.3498,8.6981,0.2762,386.0,0.0,0.6873,medium
59,306,102.0,90.0,0.0212,1,975.0,0.0418,504.0,3612.0,9.0,0.6216,2.1249,0.0899,314.0,0.0,0.8357,low
30,179,133.0,107.0,0.0463,3,1077.0,0.2213,243.0,2491.0,8.0,1.888,7.2454,0.1448,489.0,0.0,0.6448,medium
55,291,70.0,91.0,0.0206,1,832.0,0.0758,379.0,2997.0,10.0,1.3142,3.8569,0.0721,279.0,0.0,0.7978,low
64,270,68.0,107.0,0.0,2,200.0,0.0485,450.0,2981.0,7.0,0.0,5.6722,0.0896,335.0,0.0,0.8227,low
40,184,139.0,93.0,0.0537,3,1151.0,0.2086,307.0,2548.0,9.0,2.7297,5.9129,0.1852,434.0,0.0,0.7238,medium
49,184,109.0,97.0,0.0528,3,1272.0,0.2641,333.0,2255.0,16.0,2.5757,7.8584,0.2156,512.0,0.0,0.6322,medium
65,323,86.0,67.0,0.0124,0,448.0,0.0582,442.0,3068.0,10.0,0.5995,4.4007,0.0712,398.0,0.0,0.8435,low
43,218,124.0,116.0,0.0623,2,1317.0,0.1339,268.0,1924.0,17.0,2.0253,6.2708,0.1424,506.0,0.0,0.7152,medium
28,211,134.0,112.0,0.0868,2,1346.0,0.2102,274.0,2123.0,16.0,0.9498,12.3005,0.1986,512.0,0.0,0.6851,medium
67,298,86.0,73.0,0.0192,0,1035.0,0.0753,437.0,3326.0,8.0,0.754,4.4869,0.0795,279.0,0.0,0.8335,low
49,253,113.0,110.0,0.0291,5,1299.0,0.1982,220.0,2411.0,11.0,2.1112,9.9968,0.1711,444.0,0.0,0.6117,medium
37,216,114.0,87.0,0.0536,4,1557.0,0.22,327.0,2096.0,9.0,1.8962,10.343,0.1667,346.0,0.0,0.785,medium
25,97,124.0,131.0,0.1095,7,1253.0,0.2593,170.0,705.0,17.0,2.5515,17.5726,0.3192,571.0,0.0,0.5208,high
55,324,93.0,95.0,0.0122,0,619.0,0.0767,390.0,2558.0,3.0,0.435,4.0848,0.0568,268.0,0.0,0.7553,low
57,291,91.0,92.0,0.0185,1,807.0,0.0944,490.0,3504.0,10.0,0.8704,4.0694,0.0632,275.0,0.0,0.7779,low
31,202,143.0,109.0,0.0449,4,1765.0,0.2283,255.0,2418.0,11.0,1.6436,8.6396,0.1883,504.0,0.0,0.6535,medium
71,371,72.0,72.0,0.0202,1,761.0,0.0912,424.0,3317.0,8.0,1.2605,4.7836,0.0774,294.0,0.0,0.7953,low
16,141,137.0,123.0,0.1122,6,2315.0,0.3688,212.0,1617.0,20.0,2.146,13.8542,0.2655,406.0,0.0,0.3253,high
59,227,106.0,108.0,0.059,4,1423.0,0.1656,338.0,2407.0,7.0,1.6036,8.7421,0.2072,327.0,0.0,0.5944,medium
